"nome","resumo","coordenador"
"MONITORIA PARA DISCIPLINAS DE QUÍMICA INORGÂNICA EXPERIMENTAL E QUÍMICA INORGÂNICA I","Em breve este conteúdo estará disponível.","Eduardo Monteiro Martins "
"MONITORIA PARA DISCIPLINA DE INTRODUÇÃO A ENGENHARIA AMBIENTAL","Em breve este conteúdo estará disponível.","Eduardo Monteiro Martins "
"AVALIAÇÃO POLUIÇÃO ATMOSFÉRICA POR ATIVIDADES INDUSTRIAIS DO SUL DO ESTADO DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Eduardo Monteiro Martins "
"CARACTERIZAÇÃO E QUANTIFICAÇÃO DAS EMISSÕES VEICULARES DA FROTA DO SUL DO ESTADO DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Eduardo Monteiro Martins "
"MODELOS DE DISPERSÃO","Em breve este conteúdo estará disponível.","Eduardo Monteiro Martins "
"TERMODINÂMICA I PARA ENGENHARIA QUÍMICA: USO DE METODOLOGIAS ATIVAS DE ENSINO-APRENDIZAGEM","Em breve este conteúdo estará disponível.","Eduardo Rocha De Almeida Lima "
"AVALIAÇÃO DA FORMAÇÃO E ESTABILIDADE DE EMULSÕES E ESPUMAS VISANDO APLICAÇÃO NA INDÚSTRIA COSMÉTICA","Em breve este conteúdo estará disponível.","Eduardo Rocha De Almeida Lima "
"PONTE – PROJETO DE OPERAÇÕES E NOVAS TECNOLOGIAS","Em breve este conteúdo estará disponível.","Erika De Queiros Eugenio "
"IMPLEMENTAÇÃO DE PROTÓTIPO DIDÁTICO PARA ENSINO DOS FUNDAMENTOS DA ENGENHARIA QUÍMICA","Em breve este conteúdo estará disponível.","Erika De Queiros Eugenio "
"MONITORIA DE QUÍMICA BÁSICA PARA ENGENHARIAS QUÍMICA MECÂNICA E DE PRODUÇÃO","Em breve este conteúdo estará disponível.","Fernanda Romanholi Pinhati "
"MONITORIA DE QUI07-03865 - QUÍMICA XI","Em breve este conteúdo estará disponível.","Marcelo Augusto Vieira De Souza "
"BIOCATÁLISE APLICADA À TECNOLOGIA AMBIENTAL","Em breve este conteúdo estará disponível.","Marta Antunes Pereira Lngone "
"ANÁLISE DE DADOS COM PYTHON","Em breve este conteúdo estará disponível.","Pryscilla Maria Pires Dos Santos "
